id,ts,source,role,kind,url,product_key,tags,summary,quote,metrics_json,raw_ref
sig-oem-catalog-2026-09-23,2026-09-23T09:30:00-07:00,rad_oem,demand,oos,https://www.radpowerbikes.com/collections/accessories/products.json,SOMO-RAD-SUN-01,oem|catalog|oos|weekday,"Rad OEM products.json HTTP 200: accessories 66 + spare-parts 65 = 131 unique handles; core OOS unchanged (large-front-mounted-basket, radrunner-passenger-package, radrover-rear-rack, radwagon-deckpad, radexpand-replacement-tire); no sun-cover/visor SKU; External Battery Charge Port Cover IN STOCK; GUB PRO-3 Phone Mount IN STOCK; flips vs freestack-2026-09-22 night=0.",,"{""accessories_count"": 66, ""spare_parts_count"": 65, ""unique_handles"": 131, ""core_oos"": [""large-front-mounted-basket"", ""radrunner-passenger-package"", ""radrover-rear-rack"", ""radwagon-deckpad"", ""radexpand-replacement-tire""], ""charge_port_cover_in_stock"": true, ""gub_pro3_phone_mount_in_stock"": true, ""sun_cover_sku_handles"": [], ""flips_vs_freestack_night"": 0, ""flip_handles"": []}",raw/rad_accessories_all.json+rad_spare-parts_all.json@2026-09-23
sig-etsy-comp-2026-09-23,2026-09-23T09:30:00-07:00,etsy,competition,other,https://openapi.etsy.com/v3/application/listings/active,SOMO-RAD-SUN-01,etsy|competition|weekday,Etsy v3 competition (Monday-comparable): 'rad power display cover' count=8; 'rad power phone mount' count=0; 'rad charging port cover' count=1.,,"{""display_cover_count"": 8, ""phone_mount_count"": 0, ""charging_port_cover_count"": 1}",raw/etsy_competition.json
sig-mw-comp-2026-09-23,2026-09-23T09:30:00-07:00,makerworld,competition,other,https://makerworld.com/en/search/models?keyword=rad%20display%20cover,SOMO-RAD-SUN-01,makerworld|competition|weekday|approximate,MakerWorld HTTP search OK: Rad-specific display-cover ~0 (printer/German Rad noise); phone-mount search generic (no Rad Power display/phone mount); charge-port search not Rad dust-cap; visor query found Rad Power bike mounts/terminal cover but not display visor. Approximate — no numeric API.,,"{""rad_specific_display_cover_approx"": 0, ""rad_specific_phone_mount_approx"": 0, ""rad_display_visor_approx"": 0}",raw/mw_rad_display_cover.html
sig-ebr-weekday-2026-09-23,2026-09-23T09:30:00-07:00,ebr_forum,demand,other,https://forums.electricbikereview.com/forum/rad-power-bikes/index.rss,,ebr|rss|weekday|liability,"EBR Rad RSS OK (forums.electricbikereview.com). Light weekday: no new Path A accessory pain (visor/clasp/charge-cap) vs weekly 2026-09-21 themes. Top items battery UL replacement / funding / CPSC recall — liability-only notes. Older condensation-in-display / LCD-alt threads still in feed, not new Path A.",Condensation in Display=Sudden Loss of Motor Power (stale thread still in RSS),"{""rss_ok"": true, ""path_a_new_pain"": false}",raw/ebr_rad_rss.xml
sig-ebr-report-2026-09-23,2026-09-23T09:30:00-07:00,electric_bike_report,demand,other,https://electricbikereport.com/feed/,,electric_bike_report|rss|weekday,Electric Bike Report feed OK; newest Tue 22 Sep 2026 Euphree City Robin Review. No new Rad accessory Path A (visor/clasp/charge-cap) in recent items; Rad crowdfunding still referenced in older TWR Ep 99.,,"{""feed_ok"": true, ""newest_title"": ""Euphree City Robin Review""}",raw/electric_bike_report_feed.xml
sig-amazon-serp-2026-09-23,2026-09-23T09:30:00-07:00,amazon,demand,review,https://www.amazon.com/s?k=rad+power+bikes+accessories,,amazon|webfetch|weekday,"Amazon WebFetch OK on Rad Power accessories SERP (no bm-verify). Observed listings: chargers, brake pads, phone holders, baskets, LCD meters — no invented 1–3★ review text. Focused 'rad power display cover' + 1–3★ filter returned empty/'Need help?' (no review payload).",,"{""serp_ok"": true, ""display_cover_1to3_star_results"": 0, ""review_text_invented"": false}",webfetch:amazon.com/s?k=rad+power+bikes+accessories
sig-oem-help-rad-2026-09-23,2026-09-23T09:30:00-07:00,other,health,other,https://www.radpowerbikes.com/pages/support,,oem_help_rad|webfetch,Rad support page WebFetch OK: phone/text/chat hours only; no glare/display/visor/charge-port/phone-mount help language observed on landing page.,,"{""help_glare_language"": false}",raw/rad_support.html
sig-fb-carry-2026-09-23,2026-09-23T09:30:00-07:00,facebook_aventon,demand,theme,https://www.facebook.com/groups/860508022428626,aventon_front_basket,facebook|carry_forward|weekly_2026-09-21,FB weekday not due — OK-from-prior weekly 2026-09-21 (3 Joined groups). Carry Aventon front-basket WATCH only; no scrape today.,,"{""groups_ok_prior"": 3}",weekly-fb-2026-09-21
youtube:ALeWM4ROM54,2026-09-23T09:30:00-07:00,youtube,demand,other,https://www.youtube.com/watch?v=ALeWM4ROM54,,cover|display|power|rad|youtube,"Which is better, EggRider or 35 Amp Controller &amp; Display for your Rad Power Bike (Update) (Big Game Bikes)",Find out more about these products here: Eggrider - http://bit.ly/BGBEggrider 35 Amp controller and Display ...,"{""matched_keywords"": [""Rad Power display cover""], ""channel_title"": ""Big Game Bikes"", ""published_at"": ""2021-02-23T19:00:02Z"", ""video_id"": ""ALeWM4ROM54""}",https://www.youtube.com/watch?v=ALeWM4ROM54
youtube:IRvq8QfFOlU,2026-09-23T09:30:00-07:00,youtube,demand,other,https://www.youtube.com/watch?v=IRvq8QfFOlU,,cover|display|power|rad|youtube,LCD Display Features | Rad Tech (Rad Power Bikes),"A step-by-step guide on the features and operation of the Rad Power Bikes LCD Display. If you have more tech questions, feel ...","{""matched_keywords"": [""Rad Power display cover""], ""channel_title"": ""Rad Power Bikes"", ""published_at"": ""2018-03-28T22:38:30Z"", ""video_id"": ""IRvq8QfFOlU""}",https://www.youtube.com/watch?v=IRvq8QfFOlU
