id,ts,source,role,kind,url,product_key,tags,summary,quote,metrics_json,raw_ref
sig-oem-catalog-2026-09-22,2026-09-22T16:30:00Z,rad_oem,demand,oos,https://www.radpowerbikes.com/collections/accessories/products.json,,oem|catalog|oos,"Rad OEM products.json HTTP 200: accessories 66 + spare-parts 65 = 131 unique handles; core-4 OOS unchanged (large-front-mounted-basket, radrunner-passenger-package, radrover-rear-rack, radwagon-deckpad); RadExpand Replacement Tire OOS; no sun-cover SKU; External Battery Charge Port Cover in stock; GUB PRO-3 Phone Mount in stock.",,"{""accessories_count"":66,""spare_parts_count"":65,""unique_handles"":131,""core_oos"":[""large-front-mounted-basket"",""radrunner-passenger-package"",""radrover-rear-rack"",""radwagon-deckpad""],""all_oos"":[{""handle"":""large-front-mounted-basket"",""title"":""Large Front-Mounted Basket""},{""handle"":""radexpand-replacement-tire"",""title"":""RadExpand Replacement Tire""},{""handle"":""radrover-rear-rack"",""title"":""RadRover Rear Rack""},{""handle"":""radrunner-passenger-package"",""title"":""RadRunner Passenger Package""},{""handle"":""radwagon-deckpad"",""title"":""RadWagon Deckpad""}],""charge_port_cover_in_stock"":true,""gub_pro3_phone_mount_in_stock"":true,""sun_cover_sku_handles"":[]}",products.json@2026-09-22
sig-ebr-report-feed-fresh-2026-09-22,2026-09-22T16:30:00Z,electric_bike_report,health,other,https://electricbikereport.com/feed/,,ebr_report|rss|health,"Electric Bike Report RSS OK: newest item Mon, 21 Sep 2026 18:54:22 +0000 — N+ Ford Mustang eBike Review | Classic, Sporty, and Cool","N+ Ford Mustang eBike Review | Classic, Sporty, and Cool","{""newest_pub"":""Mon, 21 Sep 2026 18:54:22 +0000"",""items_parsed"":8,""newest_url"":""https://electricbikereport.com/n-plus-ford-mustang-review/""}",rss_ok
sig-ebr-report-twr-99-rad-owner,2026-09-06T16:23:01Z,electric_bike_report,demand,other,https://electricbikereport.com/the-weekly-recharge-episode-99/,,ebr_report|rss|rad_corporate,Electric Bike Report TWR Ep 99 (RSS): mentions Rad’s new owner launching a crowdfunding campaign (still in feed).,Rad’s New Owner Launches a Crowdfunding Campaign,"{""pubDate"":""Sun, 06 Sep 2026 16:23:01 +0000""}",electricbikereport.com/feed
sig-ebr-forum-weekday-light-2026-09-22,2026-09-22T16:30:00Z,ebr_forum,demand,other,https://forums.electricbikereview.com/forum/rad-power-bikes/index.rss,,ebr_forum|rss|weekday_light,Weekday light EBR Rad board RSS OK on new host forums.electricbikereview.com/forum/rad-power-bikes/ (old electricbikereview.com/forum/... 404). 50 items; newest threads battery/UL/recall/Infinite-mount (liability — not launch). Accessory-ish titles present but stale (Condensation in Display; Radrunner lcd display alternatives?). No new Path A SUN-01/clasp/charge-cap pain since weekly 2026-09-21 NOTHING_NEW.,Condensation in Display=Sudden Loss of Motor Power; Radrunner lcd display alternatives?,"{""items"":50,""displayish_titles"":[""Condensation in Display=Sudden Loss of Motor Power"",""Radrunner lcd display alternatives?""],""host"":""forums.electricbikereview.com""}",ebr_rad_rss@2026-09-22
sig-etsy-comp-display-cover-2026-09-22,2026-09-22T16:30:00Z,etsy,competition,other,https://www.etsy.com/search?q=rad%20power%20display%20cover,rad_display_weather_sun_cover,etsy|competition|sun_01,Etsy API active listings for 'rad power display cover': count=8. Samples include RadRunner LCD Display Upgrade Screen Cover and RadRover 6+/RadCity 5 Display Covers. (Broader 'rad display cover' query count=11.),Rad Power Bike Display Cover - RadRunner LCD Display Upgrade Screen Cover,"{""query"":""rad power display cover"",""count"":8,""sample_listing_ids"":[1299095927,1313956144,1138039952,1043540730,1386731282],""broad_query_count"":11}",etsy_api_v3
sig-etsy-comp-phone-mount-2026-09-22,2026-09-22T16:30:00Z,etsy,competition,other,https://www.etsy.com/search?q=rad%20power%20phone%20mount,rad_display_phone_mount,etsy|competition|clasp,Etsy API active listings for 'rad power phone mount': count=0. Thin Etsy competition (competition proxy only).,,"{""query"":""rad power phone mount"",""count"":0}",etsy_api_v3
sig-etsy-comp-charge-cap-2026-09-22,2026-09-22T16:30:00Z,etsy,competition,other,https://www.etsy.com/search?q=rad%20charging%20port%20cover,rad_power_charging_port_dust_cap,etsy|competition|charge_cap,Etsy API active listings for 'rad charging port cover': count=1. OEM External Battery Charge Port Cover remains in stock → charge-cap urgency DOWN.,RadPower Battery Charge Port Plug: Water Resistant Replacement Accessory (2 Pack),"{""query"":""rad charging port cover"",""count"":1,""sample_listing_ids"":[1568584086],""oem_charge_cover_in_stock"":true}",etsy_api_v3
sig-mw-comp-launch-queue-2026-09-22,2026-09-22T16:30:00Z,makerworld,competition,other,https://makerworld.com/en/search/models?keyword=RadRunner+display+cover,rad_display_weather_sun_cover,makerworld|competition|sun_01|clasp|charge_cap,MakerWorld HTTP search pages 200; Rad-specific display-cover hits ~0 (German Radkappe / printer display noise). Generic e-bike charge-port caps present (Bosch/Yamaha/Shimano/Cube/etc.). Generic bike phone mounts plentiful. No reliable numeric API.,Bosch Abdeckkappe für Ladebuchse E-Bike; Yamaha E-Bike charging port cover TPU,"{""radrunner_display_cover_rad_specific_hits"":0,""charge_port_generic_ebike_caps_present"":true,""phone_mount_generic_bike_mounts_present"":true}",makerworld_http_search
sig-ctx-credits-depleted-2026-09-22,2026-09-22T05:18:04Z,context_dev,health,other,https://context.dev/,,context_dev|auth|credits,Context.dev API credits depleted (Gmail notifications@context.dev 2026-09-22 05:18Z UTC: credits run out). Cannot poll monitors for weekday changes. Zapier Context.dev connector also needsAuth. Deleted launch extracts (mon_c149fcde/mon_885be9df/mon_4dada2b6) left deleted.,Your API key has run out of credits,"{""gmail_thread"":""1a0c78cc045693fb"",""status"":""AUTH""}",gmail:notifications@context.dev
youtube:ALeWM4ROM54,2026-09-22T16:24:14.724739Z,youtube,demand,other,https://www.youtube.com/watch?v=ALeWM4ROM54,,cover|display|power|rad|youtube,"Which is better, EggRider or 35 Amp Controller & Display for your Rad Power Bike (Update) (Big Game Bikes)",Find out more about these products here: Eggrider - http://bit.ly/BGBEggrider 35 Amp controller and Display ...,"{""matched_keywords"":[""Rad Power display cover""],""channel_title"":""Big Game Bikes"",""published_at"":""2021-02-23T19:00:02Z"",""video_id"":""ALeWM4ROM54""}",https://www.youtube.com/watch?v=ALeWM4ROM54
youtube:599Cq6L7DkE,2026-09-22T16:24:14.724739Z,youtube,demand,other,https://www.youtube.com/watch?v=599Cq6L7DkE,,cover|display|power|rad|youtube,Step by Step: Rad Power Bikes' New Color LCD Display on the Radster Trail and Radster Road (Ebike Escape),This is what the new LCD display looks like on the Rad Power Bikes Radster Trail and Radster Road. In the advanced settings ...,"{""matched_keywords"":[""Rad Power display cover""],""channel_title"":""Ebike Escape"",""published_at"":""2024-05-28T18:44:47Z"",""video_id"":""599Cq6L7DkE""}",https://www.youtube.com/watch?v=599Cq6L7DkE
youtube:IRvq8QfFOlU,2026-09-22T16:24:14.724739Z,youtube,demand,other,https://www.youtube.com/watch?v=IRvq8QfFOlU,,cover|display|power|rad|youtube,LCD Display Features | Rad Tech (Rad Power Bikes),"A step-by-step guide on the features and operation of the Rad Power Bikes LCD Display. If you have more tech questions, feel ...","{""matched_keywords"":[""Rad Power display cover""],""channel_title"":""Rad Power Bikes"",""published_at"":""2018-03-28T22:38:30Z"",""video_id"":""IRvq8QfFOlU""}",https://www.youtube.com/watch?v=IRvq8QfFOlU
