id,ts,source,role,kind,url,product_key,tags,summary,quote,metrics_json,raw_ref
sig-oem-catalog-2026-09-25,2026-09-25T09:10:00-07:00,rad_oem,demand,oos,https://www.radpowerbikes.com/collections/accessories/products.json,SOMO-RAD-SUN-01,oem|catalog|oos|weekday,"Rad OEM products.json HTTP 200: accessories 66 + spare-parts 65 = 131 unique; core OOS unchanged (large-front-mounted-basket, radrunner-passenger-package, radrover-rear-rack, radwagon-deckpad, radexpand-replacement-tire); no sun-cover/visor SKU; External Battery Charge Port Cover IN STOCK; GUB PRO-3 Phone Mount IN STOCK; flips vs weekday-2026-09-24=0. Legacy EBR board .90 RSS now serves Tern; Rad forum moved to /forum/rad-power-bikes/.",,"{""accessories_count"": 66, ""spare_parts_count"": 65, ""unique_handles"": 131, ""core_oos"": [""large-front-mounted-basket"", ""radrunner-passenger-package"", ""radrover-rear-rack"", ""radwagon-deckpad"", ""radexpand-replacement-tire""], ""charge_port_cover_in_stock"": true, ""gub_pro3_phone_mount_in_stock"": true, ""sun_cover_sku_handles"": [], ""flips_vs_weekday_2026_09_24"": 0, ""flip_handles"": []}",raw/rad_us_accessories.json+rad_us_spare.json@2026-09-25
sig-etsy-comp-2026-09-25,2026-09-25T09:10:00-07:00,etsy,competition,other,https://openapi.etsy.com/v3/application/listings/active,SOMO-RAD-SUN-01,etsy|competition|weekday,Etsy v3 competition: display cover count=8; phone mount=0; charging port cover=1; rad basket cup holder=0; rad basket organizer=1 (irrelevant Packout hit); ebike cup holder=14; visor=0.,,"{""display_cover_count"": 8, ""phone_mount_count"": 0, ""charging_port_cover_count"": 1, ""basket_cup_holder_count"": 0, ""basket_organizer_count"": 1, ""ebike_cup_holder_count"": 14, ""visor_count"": 0}",raw/etsy_competition.json
sig-mw-comp-2026-09-25,2026-09-25T09:10:00-07:00,makerworld,competition,other,https://makerworld.com/en/search/models?keyword=rad%20display%20cover,SOMO-RAD-SUN-01,makerworld|competition|weekday|approximate,MakerWorld HTTP search 200: Rad-specific display-cover ~0; basket cup holder / organizer searches return universal models (no paid Rad-FMB-specific insert). Approximate — no numeric API.,,"{""rad_specific_display_cover_approx"": 0, ""rad_basket_cup_holder_paid_approx"": 0, ""rad_basket_organizer_rigid_approx"": 0}",raw/mw_rad_*.html
sig-ebr-forum-2026-09-25,2026-09-25T09:10:00-07:00,ebr_forum,demand,other,https://forums.electricbikereview.com/forum/rad-power-bikes/index.rss,,ebr|forum|weekday|url_migration,EBR Rad forum OK via NEW path /forum/rad-power-bikes/index.rss (legacy /forums/rad-power-bikes.90/index.rss now serves Tern Forum — do not use). Newest threads battery/recall/funding/seatpost — no new Path A accessory pain (basket/visor/cup/mount).,,"{""rss_items"": 50, ""path_a_accessory_hits"": 0, ""legacy_board_90_status"": ""misrouted_to_tern""}",raw/ebr_rad_rss.xml
sig-ebr-report-2026-09-25,2026-09-25T09:10:00-07:00,electric_bike_report,demand,other,https://electricbikereport.com/feed/,,ebr_report|weekday,Electric Bike Report feed OK; newest still 2026-09-22 Euphree City Robin Review; Sep 6 TWR mentions Rad new-owner crowdfunding — no new Rad Path A accessory.,,"{""newest_title"": ""Euphree City Robin Review"", ""newest_pub"": ""2026-09-22""}",raw/ebr_report_feed.xml
sig-amazon-2026-09-25,2026-09-25T09:10:00-07:00,amazon,demand,review,https://www.amazon.com/s?k=rad+power+bikes+accessories,,amazon|weekday|serp,"Amazon: curl SERP hit bm-verify interstitial (BLOCKED via curl). WebFetch SERP OK — shelf shows universal cup holders, Retrospec baskets, Line and Ride Rad basket liner $34.99, phone mounts; no Rad left-pad glare visor. Display-cover 1–3★ SERP thin/irrelevant. Overall OK via WebFetch; BLOCKED streak=0.",,"{""curl_status"": ""BLOCKED_bm_verify"", ""webfetch_serp"": ""OK"", ""blocked_streak"": 0, ""rad_specific_glare_visor_on_serp"": false}",raw/amazon_serp.html+WebFetch
sig-x-2026-09-25,2026-09-25T09:10:00-07:00,x,demand,other,https://x.com/search?q=Rad%20Power%20basket%20OR%20visor,,x|weekday|blocked,"Public X expected BLOCKED (login/JS shell, no usable public tweet bodies). No unofficial scrape.",,{},raw/x_search.html
sig-yotpo-basket-2026-09-25,2026-09-25T09:10:00-07:00,other,demand,review,https://api-cdn.yotpo.com/v1/reviews/BkytFRGDXTtc4iQIQVd9BCNIM72dNAKonoGFKdRn/filter.json,rad_basket_cup_holder,rad_yotpo|basket|weekday|demand,Yotpo store-wide + accessory 1–3★ re-pull: cup-holder language mostly Console/tank-bag too-small (not FMB). Confirmed prior FMB/Large Basket asks still present in corpus (SFMB “needs a cup holder” id 696154503; Large Basket water-bottle/inner-basket id 703971832). Cargo net hook complaints still loud. No new 2026 left-pad glare WTB.,Would like to see a place for water bottle perhaps adjustable clamp system to secure or a small inner basket for small items.,"{""large_fmb_1to3"": 53, ""small_fmb_1to3"": 43, ""cargo_net_1to3"": 57, ""water_bottle_1to3"": 153}",raw/yotpo_store_search.json+yotpo_accessory_lowstar.json
sig-aventon-oem-2026-09-25,2026-09-25T09:10:00-07:00,other,demand,other,https://www.aventon.com/products.json,aventon_front_basket,aventon|oem|weekday,Aventon products.json OK (249 products). No front basket SKU; Rear Rack Basket Abound $150.99 IN STOCK; BiKASE Basket Liner $34.99 IN STOCK. Front-basket WATCH remains FB-weekly carry only.,,"{""product_count"": 249, ""front_basket_sku"": false, ""rear_rack_basket_in_stock"": true}",raw/aventon_products.json
youtube:ALeWM4ROM54,2026-09-25T15:54:07.447321Z,youtube,demand,other,https://www.youtube.com/watch?v=ALeWM4ROM54,,cover|display|power|rad|youtube|weekday|2026-09-25,"Which is better, EggRider or 35 Amp Controller &amp; Display for your Rad Power Bike (Update) (Big Game Bikes)",Find out more about these products here: Eggrider - http://bit.ly/BGBEggrider 35 Amp controller and Display ...,"{""matched_keywords"": [""Rad Power display cover""], ""channel_title"": ""Big Game Bikes"", ""published_at"": ""2021-02-23T19:00:02Z"", ""video_id"": ""ALeWM4ROM54""}",https://www.youtube.com/watch?v=ALeWM4ROM54
